Kontener{masa=788, producent='COSCO', towar='Telefon'} Poziom: 0 Kolumna: 0 Pozycja: 0
Kontener{masa=366, producent='CMA CMG', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 0 Pozycja: 1
Kontener{masa=796, producent='COSCO', towar='Komputer'} Poziom: 0 Kolumna: 0 Pozycja: 2
Kontener{masa=819, producent='COSCO', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 0 Pozycja: 3
Kontener{masa=880, producent='Maersk', towar='Telewizor'} Poziom: 0 Kolumna: 0 Pozycja: 4
Kontener{masa=671, producent='Maersk', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 0 Pozycja: 5
Kontener{masa=853, producent='COSCO', towar='Banany'} Poziom: 0 Kolumna: 0 Pozycja: 6
Kontener{masa=221, producent='Swire', towar='Sok porzeczkowy'} Poziom: 0 Kolumna: 0 Pozycja: 7
Kontener{masa=981, producent='COSCO', towar='Procesor'} Poziom: 0 Kolumna: 0 Pozycja: 8
Kontener{masa=249, producent='COSCO', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 0 Pozycja: 9
Kontener{masa=9997, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 0 Pozycja: 10
Kontener{masa=9996, producent='Swire', towar='Farba'} Poziom: 0 Kolumna: 0 Pozycja: 11
Kontener{masa=9995, producent='Maersk', towar='Banany'} Poziom: 0 Kolumna: 0 Pozycja: 12
Kontener{masa=9994, producent='Maersk', towar='Kwas'} Poziom: 0 Kolumna: 0 Pozycja: 13
Kontener{masa=9992, producent='Swire', towar='Kwas'} Poziom: 0 Kolumna: 0 Pozycja: 14
Kontener{masa=9992, producent='Matson', towar='Ropa'} Poziom: 0 Kolumna: 0 Pozycja: 15
Kontener{masa=9990, producent='CMA CMG', towar='Farba'} Poziom: 0 Kolumna: 0 Pozycja: 16
Kontener{masa=9990, producent='COSCO', towar='Ropa'} Poziom: 0 Kolumna: 0 Pozycja: 17
Kontener{masa=9990, producent='Swire', towar='Banany'} Poziom: 0 Kolumna: 0 Pozycja: 18
Kontener{masa=9987, producent='Evergreen', towar='Kwas'} Poziom: 0 Kolumna: 0 Pozycja: 19
Kontener{masa=866, producent='Swire', towar='Sok wiśniowy'} Poziom: 0 Kolumna: 0 Pozycja: 20
